rank,feature,perm_importance,grad_importance,variance,zero_rate,mean,std
101,B2_inner_st_diff,0.00002661,0.01168908,0.00090076,0.1407,0.002877,0.030013
102,B3_local_win_rate,0.00002553,0.00335074,4.74793816,0.1253,4.596583,2.178976
103,B1_class_A2,0.00002470,0.00396116,0.20218490,0.7187,0.281333,0.449650
104,G_wind_S,0.00002365,0.01072365,0.10812221,0.8767,0.123333,0.328819
105,B1_tilt,0.00002193,0.00674974,0.01030000,0.3633,-0.091722,0.101489
106,B5_approach_1,0.00002060,0.00379756,0.00099900,0.9990,0.001000,0.031607
107,B3_tilt,0.00002038,0.01398123,0.01357091,0.3723,-0.085111,0.116494
108,B2_class_A2,0.00001976,0.00330218,0.18412223,0.7567,0.243333,0.429095
109,B5_approach_3,0.00001905,0.00832576,0.00760789,0.9923,0.007667,0.087223
110,G_wind_N,0.00001876,0.00322531,0.07499723,0.9183,0.081667,0.273856
111,B1_exhibition_time_diff,0.00001850,0.00352347,0.02448478,0.0087,-0.007201,0.156476
112,B4_exhibition_time_diff,0.00001764,0.00393097,0.06636236,0.0077,0.003866,0.257609
113,B5_class_B1,0.00001729,0.00735444,0.24977498,0.5150,0.485000,0.499775
114,B3_win_rate_rel,0.00001645,0.00344974,0.83235121,0.0013,0.076615,0.912333
